Gamme,Type/Nom de Gamme,Ingrédients Clés,Bénéfices,Description longue,Produit,Contenance,Photos,Prix achat,Prix de revient,Prix HT,Prix TTC,Référence (SKU),Marge
AB,Gamme Régénérante,Kératine et Extrait d'Ail,"Pour cheveux éteints et opaques, redonne santé et tonus.","La gamme régénérante sans sulfate à la Kératine et extrait d ail.
Idéal pour cheveux traités, lissés et abimés, soumis aux colorations et décolorations.
Protège et illumine le cheveu éteint et opaque, procure un aspect sain et tonique.
Régénère la structure capillaire, redonne de l’éclat et brillance au cheveu.",Shampooing AB,500ML,,"€3,35",5.025,€11.89,"€12,90",K24055,2.366
AB,Gamme Régénérante,Kératine et Extrait d'Ail,"Pour cheveux éteints et opaques, redonne santé et tonus.","La gamme régénérante sans sulfate à la Kératine et extrait d ail.
Idéal pour cheveux traités, lissés et abimés, soumis aux colorations et décolorations.
Protège et illumine le cheveu éteint et opaque, procure un aspect sain et tonique.
Régénère la structure capillaire, redonne de l’éclat et brillance au cheveu.",Sérum AB,100ML,1_KERAGOLD_pro_Serum_PROFESSIONNEL_keratine_et_extrait_d_ail_AB.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1774454400000/5ecYEjXdyC8dHqAr-KQ59Q/4dG4ka-zdhdfdEhrRZjwPZiO82wUC01PjpkwKWAnQ_5QMD89GGbYuTm1yzLV4h7_kzv7axmYW5CreuO_oxvDlpy0BeEdnV7AuAm708lEbmdRhgNlpWKU8jDZO5t3f_iNDvVN2j1i-SabnhXsnR5LX6oTaaqy4ioHAhmN6zNpnSh6RnxmeccBOUnivci1KOJZJqyvokdInJ4H7NYG6yRPVZ9s_tq-AlXLmJ8Qo7p0Big/Cqvil-W0yPv0rkaCxel0OlKEhl1usR80AO-lhCcugmw),"€3,95",5.925,€13.73,"€14,90",K24058,2.318
AB,Gamme Régénérante,Kératine et Extrait d'Ail,"Pour cheveux éteints et opaques, redonne santé et tonus.","La gamme régénérante sans sulfate à la Kératine et extrait d ail.
Idéal pour cheveux traités, lissés et abimés, soumis aux colorations et décolorations.
Protège et illumine le cheveu éteint et opaque, procure un aspect sain et tonique.
Régénère la structure capillaire, redonne de l’éclat et brillance au cheveu.",Masque AB,500ML,,"€2,45",3.675,€10.05,"€10,90",K24057,2.734
AC,Gamme Réparateur,Acide Hyaluronique & Huile d'Amla,"Répare le cuir chevelu, favorise la croissance et prévient la chute.","La gamme réparateur à la kératine, acide hyaluronique et huile d'Amla, sans sulfate pour toutes les typologie de cheveux, réparent le cuir chevelu, favorise la croissance et préviens la chute du cheveu.
La synergie de ses ingrédients agit efficacement pour redonner force et un effet sublime aux cheveux.",Shampooing AC,500ML,,"€3,35",5.025,€11.89,"€12,90",K42001,2.366
AC,Gamme Réparateur,Acide Hyaluronique & Huile d'Amla,"Répare le cuir chevelu, favorise la croissance et prévient la chute.","La gamme réparateur à la kératine, acide hyaluronique et huile d'Amla, sans sulfate pour toutes les typologie de cheveux, réparent le cuir chevelu, favorise la croissance et préviens la chute du cheveu.
La synergie de ses ingrédients agit efficacement pour redonner force et un effet sublime aux cheveux.",Shampooing AC,1000ML,,"€4,95",7.425,€16.50,"€17,90",K42005,2.222
AC,Gamme Réparateur,Acide Hyaluronique & Huile d'Amla,"Répare le cuir chevelu, favorise la croissance et prévient la chute.","La gamme réparateur à la kératine, acide hyaluronique et huile d'Amla, sans sulfate pour toutes les typologie de cheveux, réparent le cuir chevelu, favorise la croissance et préviens la chute du cheveu.
La synergie de ses ingrédients agit efficacement pour redonner force et un effet sublime aux cheveux.",Shampooing AC,250ML,,"€1,85",2.775,€8.20,"€8,90",K42004,2.956
AC,Gamme Réparateur,Acide Hyaluronique & Huile d'Amla,"Répare le cuir chevelu, favorise la croissance et prévient la chute.","La gamme réparateur à la kératine, acide hyaluronique et huile d'Amla, sans sulfate pour toutes les typologie de cheveux, réparent le cuir chevelu, favorise la croissance et préviens la chute du cheveu.
La synergie de ses ingrédients agit efficacement pour redonner force et un effet sublime aux cheveux.",Sérum AC,100ML,,"€3,95",5.925,€13.73,"€14,90",K42003,2.318
AC,Gamme Réparateur,Acide Hyaluronique & Huile d'Amla,"Répare le cuir chevelu, favorise la croissance et prévient la chute.","La gamme réparateur à la kératine, acide hyaluronique et huile d'Amla, sans sulfate pour toutes les typologie de cheveux, réparent le cuir chevelu, favorise la croissance et préviens la chute du cheveu.
La synergie de ses ingrédients agit efficacement pour redonner force et un effet sublime aux cheveux.",Masque AC,500ML,,"€2,45",3.675,€10.05,"€10,90",K42002,2.734
AC,Gamme Réparateur,Acide Hyaluronique & Huile d'Amla,"Répare le cuir chevelu, favorise la croissance et prévient la chute.","La gamme réparateur à la kératine, acide hyaluronique et huile d'Amla, sans sulfate pour toutes les typologie de cheveux, réparent le cuir chevelu, favorise la croissance et préviens la chute du cheveu.
La synergie de ses ingrédients agit efficacement pour redonner force et un effet sublime aux cheveux.",Masque AC,1000ML,,"€3,65",5.475,€14.65,"€15,90",K42006,2.677
AC,Gamme Réparateur,Acide Hyaluronique & Huile d'Amla,"Répare le cuir chevelu, favorise la croissance et prévient la chute.","La gamme réparateur à la kératine, acide hyaluronique et huile d'Amla, sans sulfate pour toutes les typologie de cheveux, réparent le cuir chevelu, favorise la croissance et préviens la chute du cheveu.
La synergie de ses ingrédients agit efficacement pour redonner force et un effet sublime aux cheveux.",Crème AC,200ML,,"€2,25",3.375,€10.05,"€10,90",K42007,2.977
